,Neighborhoods,Latitude,Longitude
0,"DUOMO, Milano, MI , Italia",45.4645848,9.1896695
1," SAN BABILA, Milano, MI , Italia",45.4665214,9.1975286
2," MONTENAPOLEONE, Milano, MI , Italia",45.470015,9.1928678
3," MISSORI, Milano, MI , Italia",45.4598278,9.1895549
4," CAIROLI, Milano, MI , Italia",45.4687012,9.1816966
5,"CITTÃ€ STUDI, Milano, MI , Italia",45.4770557,9.2265746
6," BRERA, Milano, MI , Italia",45.47347885,9.188407990372653
7,"SANT`AMBROGIO, Milano, MI , Italia",45.4613906,9.1729167
8," CADORNA, Milano, MI , Italia",45.4681551,9.1771024
9," VIA DANTE, Milano, MI , Italia",45.4663326,9.1847796
10,"PARCO SEMPIONE, Milano, MI , Italia",45.47301905,9.176969268773153
11," ARCO DELLA PACE, Milano, MI , Italia",45.47569195,9.172427802834267
12,"TURATI, Milano, MI , Italia",45.475039,9.1947243
13," MOSCOVA, Milano, MI , Italia",45.4770906,9.1843416
14," CORSO VENEZIA, Milano, MI , Italia",45.4688933,9.1993481
15,"VENEZIA, Milano, MI , Italia",45.1403353,8.4530285
16," PORTA VITTORIA, Milano, MI , Italia",45.4622607,9.2095796
17," PORTA ROMANA, Milano, MI , Italia",45.4522392,9.20205595
18,"PORTA VIGENTINA, Milano, MI , Italia",45.451351,9.1964451
19,"PORTA TICINESE, Milano, MI , Italia",45.45248575,9.18020677095896
20," PORTA GENOVA, Milano, MI , Italia",45.4566646,9.174606
21,"CORSO BUENOS AIRES, Milano, MI , Italia",45.4775766,9.2082162
22,"CITY LIFE, Milano, MI , Italia",45.4833239,9.2022214
23,"PORTA NUOVA, Milano, MI , Italia",45.4798577,9.192694240094355
24,"STAZIONE CENTRALE, Milano, MI , Italia",45.4865088,9.2073553
25,"CENISIO, Milano, MI , Italia",45.4875646,9.1722651
26," FARINI, Milano, MI , Italia",45.49287940000001,9.175108231228549
27," SARPI, Milano, MI , Italia",45.4830418,9.172131735619073
28,"SEMPIONE, Milano, MI , Italia",45.4771041,9.1701771
29," PAGANO, Milano, MI , Italia",45.4682848,9.1610998
30," WASHINGTON, Milano, MI , Italia",45.4612061,9.15631041155902
31,"SOLARI, Milano, MI , Italia",45.4590225,9.1648878
32," P.TA GENOVA, Milano, MI , Italia",45.4566646,9.174606
33,"TABACCHI, Milano, MI , Italia",45.4867765,9.1982143
34," SARFATTI, Milano, MI , Italia",45.4482692,9.1891795
35,"PARCO LAMBRO, Milano, MI , Italia",45.496842799999996,9.250524307072563
36," FELTRE, Milano, MI , Italia",45.4892131,9.2461182
37," UDINE, Milano, MI , Italia",45.4912044,9.2369964
38,"PIOLA, Milano, MI , Italia",45.481145,9.2259168
39," ARGONNE, Milano, MI , Italia",45.4670479,9.2303962
40," CORSICA, Milano, MI , Italia",45.463908599999996,9.23080179796616
41,"LAMBRATE, Milano, MI , Italia",45.4831483,9.2419983
42," RUBATTINO, Milano, MI , Italia",45.4774421,9.2523668
43," ROMBON, Milano, MI , Italia",45.4864231,9.2409806
44,"FORLANINI, Milano, MI , Italia",45.4675255,9.2135715
45," MECENATE, Milano, MI , Italia",45.4477791,9.247090719928508
46," ORTOMERCATO, Milano, MI , Italia",45.45330395,9.23059287245498
47," SANTA GIULIA, Milano, MI , Italia",44.838555,12.3765338
48,"VIA CARLO MAROCHETTI, Milano, MI , Italia",45.4393538,9.2252418
49," VIGENTINO, Milano, MI , Italia",45.4351394,9.1986952
50," CHIESA ROSSA, Milano, MI , Italia",45.4277094,9.17457
51,"ORTLES, Milano, MI , Italia",45.4391034,9.2014801
52," SPADOLINI, Milano, MI , Italia",45.5341831,9.1310169
53," BAZZI, Milano, MI , Italia",45.442518,9.1880159
54,"BARONA, Milano, MI , Italia",45.4307236,9.153586498645359
55," FAMAGOSTA, Milano, MI , Italia",45.436895,9.1680126
56," FAENZA, Milano, MI , Italia",44.2855555,11.8832055
57,"LORENTEGGIO, Milano, MI , Italia",45.4458965,9.1263786
58," INGANNI, Milano, MI , Italia",45.457563,9.1222629
59," BISCEGLIE, Milano, MI , Italia",45.4554126,9.1129589
60," SAN CARLO B., Milano, MI , Italia",45.4921361,9.2289488
61,"IPPODROMO, Milano, MI , Italia",45.4761386,9.1290346
62," CAPRILLI, Milano, MI , Italia",45.4801917,9.1329165
63," MONTE STELLA, Milano, MI , Italia",45.4905858,9.1346218
64,"MUSOCCO, Milano, MI , Italia",45.5093132,9.1319408
65," CERTOSA, Milano, MI , Italia",45.5024894,9.1278477
66," EXPO, Milano, MI , Italia",45.5229171,9.0940419
67," CASCINA MERLATA, Milano, MI , Italia",45.508611,9.104424
68,"BOVISA, Milano, MI , Italia",45.5027696,9.1612638
69," BAUSAN, Milano, MI , Italia",45.5026343,9.1663739
70," IMBONATI, Milano, MI , Italia",45.4388011,9.20482096513496
71,"BOVISASCA, Milano, MI , Italia",45.5158419,9.1537779
72," AFFORI, Milano, MI , Italia",45.5170295,9.1696533
73," P. ROSSI , Milano, MI , Italia",44.91709965,9.789736517763782
74," COMASINA, Milano, MI , Italia",45.5281326,9.1637291
75,"NIGUARDA, Milano, MI , Italia",45.5169738,9.1924879
76," BIGNAMI, Milano, MI , Italia",45.5267842,9.2121805
77," PARCO NORD, Milano, MI , Italia",45.51994475,9.181313083892288
78,"SARCA, Milano, MI , Italia",45.50521689999999,9.203916460372216
79," BICOCCA, Milano, MI , Italia",45.5149166,9.2111381
80,"VIALE MONZA, Milano, MI , Italia",45.51248185,9.22433270585019
81," CRESCENZAGO, Milano, MI , Italia",45.5092191,9.2474843
82," GORLA, Milano, MI , Italia",45.5049445,9.2245393
83," QUARTIERE ADRIANO, Milano, MI , Italia",45.5160356,9.2444433
84,"MAGGIOLINA, Milano, MI , Italia",45.4920365,9.2018846
85," PARCO TROTTER, Milano, MI , Italia",45.494495900000004,9.22419935442353
86," LEONCAVALLO, Milano, MI , Italia",45.490367,9.2247833
87,"BAGGIO, Milano, MI , Italia",45.4613839,9.089843
88," MUGGIANO, Milano, MI , Italia",45.4510311,9.0697581
89,"GALLARATESE, Milano, MI , Italia",45.4980249,9.1086684
90," LAMPUGNANO, Milano, MI , Italia",45.4866108,9.1250144
91," P. TRENNO, Milano, MI , Italia",45.4906416,9.1008711
92," BONOLA, Milano, MI , Italia",45.4971385,9.1098414
93,"MISSAGLIA, Milano, MI , Italia",45.7087169,9.335754
94," GRATOSOGLIO, Milano, MI , Italia",45.407321,9.1712557
95,"QUARTO OGGIARO, Milano, MI , Italia",45.5143752,9.1406811
96," SACCO, Milano, MI , Italia",45.5203654,9.123898569900575
